benchmark,run_type,baseline_method,candidate_method,metric,valid_n,paired_improvement_percent_mean,paired_difference_mean,paired_difference_std,paired_difference_ci95_low,paired_difference_ci95_high,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value
lid_driven_cavity,smoke,vanilla,vara,u_rel_l2,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,v_rel_l2,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,p_rel_l2_centered,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,omega_rel_l2,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,u_rmse,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,v_rmse,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,p_rmse_centered,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,omega_rmse,0,,,,,,,,,
lid_driven_cavity,smoke,vanilla,vara,u_pred_mean,4,-0.0002472324643421252,-4.470348358154297e-08,0.0,-4.470348358154297e-08,-4.470348358154297e-08,inf,0.0,0.0,0.125
lid_driven_cavity,smoke,vanilla,vara,v_pred_mean,4,0.04379648874823337,3.9637088775634766e-06,0.0,3.9637088775634766e-06,3.9637088775634766e-06,inf,0.0,0.0,0.125
lid_driven_cavity,smoke,vanilla,vara,p_pred_std_centered,4,-0.00016561514848640176,-3.2782554626464844e-07,0.0,-3.2782554626464844e-07,-3.2782554626464844e-07,inf,0.0,0.0,0.125
lid_driven_cavity,smoke,vanilla,vara,speed_pred_mean,4,0.0005442676926219392,3.039836883544922e-06,0.0,3.039836883544922e-06,3.039836883544922e-06,inf,0.0,0.0,0.125
lid_driven_cavity,smoke,vanilla,vara,speed_pred_max,4,-9.518194921924031e-05,-9.5367431640625e-07,0.0,-9.5367431640625e-07,-9.5367431640625e-07,inf,0.0,0.0,0.125
